 city_id,  city_name,  country_code,  lat,  lon,  cloudness,  wind_speed,  Max_temperature,  humidity,  date   
 2121385,  Severo-Kurilsk,  RU,                  50.68,  156.12,                    0,  4.36,  23.35,                100,  1545515446   
 3934707,  Mollendo,  PE,                  -17.03,  -72.02,                    8,  3.91,  75.86,                52,  1545515448   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2074865,  Carnarvon,  AU,                  -24.87,  113.63,                    80,  6.93,  73.4,                94,  1545512400   
 2409914,  Bonthe,  SL,                  7.53,  -12.5,                    8,  5.93,  86.17,                58,  1545515454   
 1006984,  East  London,  ZA,                  -33.02,  27.91,                    80,  20.8,  74.6,                99,  1545515456   
 933995,  Souillac,  MU,                  -20.52,  57.52,                    75,  17.22,  78.8,                83,  1545512400   
 934322,  Mahebourg,  MU,                  -20.41,  57.7,                    75,  17.22,  78.8,                83,  1545512400   
 3572627,  Cockburn  Town,  BS,                  24.03,  -74.52,                    0,  13.42,  75.86,                100,  1545515463   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 1566319,  Thai  Nguyen,  VN,                  21.59,  105.84,                    75,  4.7,  71.6,                100,  1545514200   
 964420,  Port  Elizabeth,  ZA,                  -33.92,  25.57,                    80,  4.25,  71.27,                94,  1545515471   
 933995,  Souillac,  MU,                  -20.52,  57.52,                    75,  17.22,  78.8,                83,  1545512400   
 3372707,  Ribeira  Grande,  PT,                  38.52,  -28.7,                    90,  5.82,  57.2,                82,  1545512400   
 1337619,  Ugoofaaru,  MV,                  5.67,  73,                    36,  6.71,  82.34,                100,  1545515478   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3598787,  Champerico,  GT,                  14.3,  -91.92,                    20,  6.93,  89.6,                49,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3863379,  Mar  del  Plata,  AR,                  -46.43,  -67.52,                    12,  20.02,  79.42,                28,  1545515492   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 2208248,  Kaitangata,  NZ,                  -46.28,  169.85,                    0,  4.59,  53.77,                81,  1545515496   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2017215,  Sangar,  RU,                  63.92,  127.47,                    56,  3.36,  -18.06,                77,  1545515501   
 986717,  Kruisfontein,  ZA,                  -34,  24.73,                    64,  7.38,  66.28,                94,  1545515503   
 1726449,  Basco,  PH,                  20.45,  121.97,                    48,  19.46,  79.33,                99,  1545515505   
 3883457,  Lebu,  CL,                  -37.62,  -73.65,                    0,  19.24,  58.18,                95,  1545515507   
 5888001,  Atikokan,  CA,                  48.76,  -91.62,                    92,  5.14,  19.25,                78,  1545515509   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 6255012,  Flinders,  AU,                  -34.58,  150.85,                    75,  9.17,  57.2,                93,  1545512400   
 4267710,  Sitka,  US,                  37.17,  -99.65,                    0,  6.93,  53.81,                35,  1545515517   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 1015776,  Bredasdorp,  ZA,                  -34.53,  20.04,                    0,  1.12,  71.6,                83,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3443061,  Chuy,  UY,                  -33.69,  -53.46,                    88,  10.74,  68.8,                97,  1545515528   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 1623502,  Sabang,  ID,                  1.17,  120.82,                    32,  11.41,  83.06,                99,  1545515532   
 5654391,  Glendive,  US,                  47.11,  -104.71,                    40,  24.16,  33.08,                74,  1545514500   
 1528998,  Yumen,  CN,                  40.29,  97.04,                    0,  2.91,  -13.78,                71,  1545515536   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2172797,  Cairns,  AU,                  -16.92,  145.77,                    32,  10.29,  84.2,                74,  1545514200   
 2618795,  Klaksvik,  FO,                  62.23,  -6.59,                    24,  6.93,  41,                86,  1545513600   
 3421319,  Nuuk,  GL,                  64.17,  -51.74,                    88,  42.5,  33.8,                100,  1545511800   
 3443061,  Chuy,  UY,                  -33.69,  -53.46,                    88,  10.74,  68.8,                97,  1545515528   
 3896218,  Castro,  CL,                  -42.48,  -73.76,                    90,  5.82,  57.2,                76,  1545512400   
 3883457,  Lebu,  CL,                  -37.62,  -73.65,                    0,  19.24,  58.18,                95,  1545515507   
 3831208,  Qaanaaq,  GL,                  77.48,  -69.36,                    0,  4.59,  -17.52,                74,  1545515555   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 5972291,  Havre-Saint-Pierre,  CA,                  50.23,  -63.6,                    90,  13.87,  42.8,                100,  1545514920   
 2077963,  Albany,  AU,                  -35.02,  117.88,                    40,  4.92,  60.8,                93,  1545514200   
 1006984,  East  London,  ZA,                  -33.02,  27.91,                    80,  20.8,  74.6,                99,  1545515456   
 2425791,  Sarh,  TD,                  9.14,  18.39,                    0,  8.72,  71.6,                49,  1545512400   
 3451138,  Rio  Grande,  BR,                  -32.03,  -52.1,                    40,  9.17,  84.2,                58,  1545511500   
 2121385,  Severo-Kurilsk,  RU,                  50.68,  156.12,                    0,  4.36,  23.35,                100,  1545515446   
 3375941,  Skeldon,  GY,                  5.88,  -57.13,                    88,  13.76,  79.64,                93,  1545515576   
 3369157,  Cape  Town,  ZA,                  -33.93,  18.42,                    75,  16.11,  69.8,                88,  1545512400   
 1067565,  Beloha,  MG,                  -25.17,  45.06,                    0,  7.38,  67.9,                74,  1545515580   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 286621,  Salalah,  OM,                  17.01,  54.1,                    0,  8.05,  71.6,                40,  1545511800   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2212771,  Sabratah,  LY,                  32.79,  12.49,                    0,  7.72,  61.82,                100,  1545515594   
 3366880,  Hermanus,  ZA,                  -34.42,  19.24,                    8,  2.91,  61.01,                93,  1545515597   
 583345,  Aleksandrov  Gay,  RU,                  50.14,  48.57,                    88,  9.84,  11.96,                89,  1545515599   
 2121385,  Severo-Kurilsk,  RU,                  50.68,  156.12,                    0,  4.36,  23.35,                100,  1545515446   
 612652,  Ochamchira,  GE,                  42.71,  41.47,                    80,  1.23,  47.83,                100,  1545515603   
 2126199,  Cherskiy,  RU,                  68.75,  161.3,                    68,  3.91,  -27.28,                43,  1545515605   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 4174715,  Tallahassee,  US,                  30.44,  -84.28,                    1,  3.36,  59,                44,  1545514500   
 1526038,  Atbasar,  KZ,                  51.81,  68.36,                    76,  7.72,  -5.23,                82,  1545515613   
 241131,  Victoria,  SC,                  -4.62,  55.45,                    92,  5.82,  80.6,                78,  1545512400   
 2126123,  Chokurdakh,  RU,                  70.62,  147.9,                    32,  3.02,  -36.51,                72,  1545515618   
 1261068,  Ojhar,  IN,                  20.09,  73.93,                    0,  2.46,  54.35,                85,  1545515622   
 2074865,  Carnarvon,  AU,                  -24.87,  113.63,                    80,  6.93,  73.4,                94,  1545512400   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 2022572,  Khatanga,  RU,                  71.98,  102.47,                    48,  17.22,  -18.51,                81,  1545515628   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 2729907,  Longyearbyen,  SJ,                  78.22,  15.64,                    90,  19.46,  24.8,                85,  1545511800   
 1282256,  Hithadhoo,  MV,                  -0.6,  73.08,                    0,  8.72,  82.34,                100,  1545515634   
 478757,  Uren,  RU,                  57.46,  45.79,                    80,  5.93,  8.99,                86,  1545515636   
 1262260,  Nagapattinam,  IN,                  10.76,  79.84,                    88,  9.95,  76.9,                92,  1545515639   
 667553,  Scurtu  Mare,  RO,                  44.34,  25.27,                    92,  13.87,  37.4,                93,  1545512400   
 2411397,  Georgetown,  SH,                  -7.93,  -14.42,                    24,  16.89,  77.39,                100,  1545515643   
 1621313,  Ambulu,  ID,                  -8.35,  113.61,                    92,  3.47,  76.31,                100,  1545515647   
 1562414,  Vung  Tau,  VN,                  10.35,  107.08,                    20,  5.37,  79.69,                100,  1545515651   
 6078372,  Moose  Factory,  CA,                  51.26,  -80.61,                    90,  14.99,  12.2,                85,  1545512400   
 2155415,  New  Norfolk,  AU,                  -42.78,  147.06,                    75,  12.75,  62.6,                51,  1545514200   
 780687,  Berlevag,  NO,                  70.86,  29.09,                    48,  7.05,  5.75,                100,  1545515658   
 1798821,  Pingdu,  CN,                  36.79,  119.95,                    0,  2.24,  30.2,                92,  1545512400   
 1079048,  Ambovombe,  MG,                  -25.18,  46.09,                    8,  7.94,  70.19,                90,  1545515662   
 1015776,  Bredasdorp,  ZA,                  -34.53,  20.04,                    0,  1.12,  71.6,                83,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2156643,  Mount  Gambier,  AU,                  -37.83,  140.78,                    0,  4.7,  53.6,                93,  1545512400   
 1269392,  Jalor,  IN,                  25.35,  72.62,                    0,  3.13,  50.75,                72,  1545515672   
 4944903,  Nantucket,  US,                  41.28,  -70.1,                    1,  25.28,  44.06,                67,  1545512160   
 1626703,  Soe,  ID,                  -9.86,  124.28,                    88,  1.23,  69.25,                98,  1545515676   
 231550,  Kiboga,  UG,                  0.92,  31.77,                    56,  3.58,  69.97,                67,  1545515679   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3424607,  Tasiilaq,  GL,                  65.61,  -37.64,                    32,  2.24,  24.8,                85,  1545511800   
 3443061,  Chuy,  UY,                  -33.69,  -53.46,                    88,  10.74,  68.8,                97,  1545515528   
 6943820,  Murdochville,  CA,                  48.96,  -65.49,                    0,  14.2,  49.72,                84,  1545515687   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 3652764,  Puerto  Ayora,  EC,                  -0.74,  -90.35,                    75,  16.11,  80.6,                74,  1545512400   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 934322,  Mahebourg,  MU,                  -20.41,  57.7,                    75,  17.22,  78.8,                83,  1545512400   
 2636790,  Stornoway,  GB,                  58.21,  -6.39,                    20,  6.93,  35.6,                93,  1545513600   
 1267390,  Kavaratti,  IN,                  10.57,  72.64,                    0,  5.14,  82.75,                100,  1545515706   
 3421719,  Narsaq,  GL,                  60.91,  -46.05,                    88,  2.57,  17.59,                78,  1545515708   
 4732862,  Nome,  US,                  30.04,  -94.42,                    1,  18.34,  76.1,                54,  1545514500   
 2110227,  Butaritari,  KI,                  3.07,  172.79,                    68,  4.7,  81.71,                100,  1545515712   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 6170031,  Tuktoyaktuk,  CA,                  69.44,  -133.03,                    90,  3.36,  1.4,                84,  1545512400   
 5959271,  Gambo,  CA,                  48.78,  -54.21,                    90,  20.8,  37.4,                64,  1545512400   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
 3418910,  Upernavik,  GL,                  72.79,  -56.15,                    32,  10.4,  -2.44,                100,  1545515725   
 5855927,  Hilo,  US,                  19.71,  -155.08,                    90,  8.05,  75.02,                78,  1545511980   
 3372472,  Vila  Franca  do  Campo,  PT,                  37.72,  -25.43,                    75,  13.87,  62.6,                100,  1545512400   
 4034551,  Faanui,  PF,                  -16.48,  -151.75,                    44,  19.01,  84.28,                98,  1545515731   
 4407665,  Kodiak,  US,                  39.95,  -94.76,                    75,  11.41,  46.04,                45,  1545513300   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4011743,  Constitucion,  MX,                  23.99,  -104.67,                    5,  3.36,  71.6,                9,  1545511320   
 2075265,  Busselton,  AU,                  -33.64,  115.35,                    0,  15.66,  64.25,                100,  1545515729   
 2028164,  Deputatskiy,  RU,                  69.3,  139.9,                    20,  2.91,  -41.14,                0,  1545515748   
 2986626,  Plouzane,  FR,                  48.38,  -4.62,                    90,  11.41,  53.6,                93,  1545514200   
 2138555,  Poum,  NC,                  -20.23,  164.02,                    20,  2.8,  79.69,                100,  1545515752   
 3441894,  Maldonado,  UY,                  -34.91,  -54.96,                    20,  11.41,  68,                77,  1545514680   
 3369157,  Cape  Town,  ZA,                  -33.93,  18.42,                    75,  16.11,  69.8,                88,  1545512400   
 2206939,  Bluff,  NZ,                  -46.6,  168.33,                    0,  9.06,  54.13,                100,  1545515760   
 3689325,  Mutis,  CO,                  6.23,  -77.4,                    92,  7.49,  77.62,                100,  1545515762   
 3347019,  Namibe,  AO,                  -15.19,  12.15,                    24,  4.14,  72.04,                100,  1545515764   
 2022572,  Khatanga,  RU,                  71.98,  102.47,                    48,  17.22,  -18.51,                81,  1545515628   
 3412093,  Vestmannaeyjar,  IS,                  63.44,  -20.27,                    12,  6.6,  33.79,                97,  1545515769   
 2110227,  Butaritari,  KI,                  3.07,  172.79,                    68,  4.7,  81.71,                100,  1545515712   
 2206939,  Bluff,  NZ,                  -46.6,  168.33,                    0,  9.06,  54.13,                100,  1545515760   
 3691954,  Sechura,  PE,                  -5.56,  -80.82,                    0,  14.43,  79.82,                70,  1545515775   
 3547930,  Mantua,  CU,                  22.29,  -84.28,                    0,  4.25,  77.12,                56,  1545515729   
 4035715,  Avarua,  CK,                  -21.21,  -159.78,                    75,  11.41,  84.2,                74,  1545512400   
 6148373,  Sioux  Lookout,  CA,                  50.1,  -91.92,                    90,  11.41,  15.8,                85,  1545514980   
 5855927,  Hilo,  US,                  19.71,  -155.08,                    90,  8.05,  75.02,                78,  1545511980   
 2325161,  Ozubulu,  NG,                  5.95,  6.85,                    8,  7.83,  79.78,                44,  1545515787   
 3831208,  Qaanaaq,  GL,                  77.48,  -69.36,                    0,  4.59,  -17.52,                74,  1545515555   
 1524298,  Aksu,  KZ,                  52.04,  76.93,                    0,  6.71,  -2.21,                77,  1545514200   
 4031574,  Provideniya,  RU,                  64.42,  -173.23,                    32,  6.93,  3.86,                100,  1545515798   
 3366880,  Hermanus,  ZA,                  -34.42,  19.24,                    8,  2.91,  61.01,                93,  1545515597   
 5969025,  Haines  Junction,  CA,                  60.75,  -137.51,                    48,  2.35,  -1.32,                81,  1545515802   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 1282256,  Hithadhoo,  MV,                  -0.6,  73.08,                    0,  8.72,  82.34,                100,  1545515634   
 2015306,  Tiksi,  RU,                  71.64,  128.87,                    0,  10.4,  -32.37,                56,  1545515808   
 2155415,  New  Norfolk,  AU,                  -42.78,  147.06,                    75,  12.75,  62.6,                51,  1545514200   
 1488903,  Turukhansk,  RU,                  65.8,  87.96,                    20,  2.91,  -48.43,                0,  1545515814   
 2122605,  Okhotsk,  RU,                  59.36,  143.24,                    88,  5.82,  4.04,                100,  1545515816   
 1636022,  Martapura,  ID,                  -3.41,  114.85,                    64,  9.51,  77.66,                100,  1545515818   
 6170031,  Tuktoyaktuk,  CA,                  69.44,  -133.03,                    90,  3.36,  1.4,                84,  1545512400   
 932183,  Quthing,  LS,                  -30.4,  27.7,                    0,  1.9,  55.25,                75,  1545515823   
 3877949,  Osorno,  CL,                  -40.57,  -73.14,                    40,  5.82,  68,                60,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2077963,  Albany,  AU,                  -35.02,  117.88,                    40,  4.92,  60.8,                93,  1545514200   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 2654970,  Brae,  GB,                  60.4,  -1.35,                    64,  2.24,  39.2,                100,  1545513600   
 1106677,  Bambous  Virieux,  MU,                  -20.34,  57.76,                    75,  17.22,  78.8,                83,  1545512400   
 2084442,  Vanimo,  PG,                  -2.67,  141.3,                    48,  8.72,  83.02,                100,  1545515845   
 6167817,  Torbay,  CA,                  47.66,  -52.73,                    90,  24.16,  33.8,                95,  1545512400   
 1242110,  Kalmunai,  LK,                  7.42,  81.82,                    88,  2.68,  74.02,                100,  1545515850   
 6165406,  Thompson,  CA,                  55.74,  -97.86,                    90,  10.29,  3.2,                71,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
